Vertex,SAT time,VC1 time,VC2 time,SAT size,VC1 size,VC2 size
10,25335,73,50,5,6,8
10,25364,72,48,5,6,8
10,25426,70,47,5,6,8
10,7408,71,46,5,5,8
10,7373,71,47,5,5,8
10,7430,77,47,5,5,8
10,7421,71,46,5,5,8
10,7446,72,47,5,5,8
10,7382,72,47,5,5,8
10,7368,75,46,5,5,8
10,7339,71,46,5,5,8
10,7423,71,46,5,5,8
10,7470,73,48,5,5,8
10,8818,74,44,5,5,8
10,8839,72,47,5,5,8
10,8792,71,47,5,5,8
10,8839,72,49,5,5,8
10,8886,72,48,5,5,8
10,8825,63,36,5,5,8
10,8981,49,30,5,5,8
10,8990,47,28,5,5,8
10,8920,58,26,5,5,8
10,8962,61,33,5,5,8
10,10339,67,34,5,6,8
10,10233,68,34,5,6,8
10,10116,57,28,5,6,8
10,10171,67,34,5,6,8
10,10207,67,35,5,6,8
10,10167,65,40,5,6,8
10,10156,67,32,5,6,8
10,10176,66,34,5,6,8
10,10179,67,35,5,6,8
10,10186,58,29,5,6,8
10,9383,65,38,5,5,8
10,9375,62,33,5,5,8
10,9375,60,45,5,5,8
10,9275,53,31,5,5,8
10,9392,60,46,5,5,8
10,9198,67,31,5,5,8
10,9257,59,46,5,5,8
10,9221,62,30,5,5,8
10,9202,65,32,5,5,8
10,9235,60,31,5,5,8
15,5000190,112,78,0,9,12
15,5000185,97,70,0,9,12
15,5000208,93,81,0,9,12
15,5000189,100,70,0,9,12
15,5000150,105,79,0,9,12
15,5000195,98,66,0,9,12
15,5000193,93,69,0,9,12
15,5000186,94,70,0,9,12
15,5000180,91,69,0,9,12
15,5000190,114,84,0,9,12
15,1239211,104,40,7,7,10
15,1359528,103,34,7,7,10
15,1234321,92,42,7,7,10
15,1339494,104,40,7,7,10
15,1262675,104,39,7,7,10
15,1235561,93,43,7,7,10
15,1243853,95,32,7,7,10
15,1259586,97,33,7,7,10
15,1273114,87,47,7,7,10
15,1242434,93,43,7,7,10
15,5000183,112,72,0,8,12
15,5000202,108,68,0,8,12
15,5000166,106,68,0,8,12
15,5000162,106,69,0,8,12
15,5000186,111,71,0,8,12
15,5000177,110,70,0,8,12
15,5000174,114,83,0,8,12
15,5000168,108,78,0,8,12
15,5000188,108,69,0,8,12
15,5000173,106,68,0,8,12
15,5000182,96,74,0,8,14
15,5000176,95,86,0,8,14
15,5000173,97,83,0,8,14
15,5000151,96,81,0,8,14
15,5000191,101,86,0,8,14
15,5000171,108,76,0,8,14
15,5000168,100,85,0,8,14
15,5000166,96,85,0,8,14
15,5000184,104,75,0,8,14
15,5000202,96,83,0,8,14
15,1462905,106,41,7,7,12
15,1466516,103,45,7,7,12
15,1466597,81,44,7,7,12
15,1474107,77,50,7,7,12
15,1469412,86,39,7,7,12
15,1466372,77,50,7,7,12
15,1465797,86,45,7,7,12
15,1465784,85,40,7,7,12
15,1728818,76,49,7,7,12
15,1466361,87,45,7,7,12
15,1962033,98,46,7,8,10
15,1895651,113,30,7,8,10
15,1892455,85,52,7,8,10
15,1897983,89,31,7,8,10
15,1897505,73,52,7,8,10
15,1897796,74,51,7,8,10
15,1895560,86,34,7,8,10
15,1895678,73,52,7,8,10
15,1890397,98,51,7,8,10
15,1894725,97,52,7,8,10
15,5000156,82,62,0,8,10
15,5000183,84,62,0,8,10
15,5000137,83,62,0,8,10
15,5000187,89,61,0,8,10
15,5000111,110,63,0,8,10
15,5000157,94,54,0,8,10
15,5000146,88,66,0,8,10
15,5000220,84,62,0,8,10
15,5000111,83,61,0,8,10
15,5000182,85,59,0,8,10
15,2123332,86,66,7,7,12
15,2135117,83,55,7,7,12
15,2141032,86,31,7,7,12
15,2142241,82,36,7,7,12
15,2138002,84,31,7,7,12
15,2139171,84,31,7,7,12
15,2141386,83,36,7,7,12
15,2144363,83,30,7,7,12
15,2139357,84,31,7,7,12
15,2140828,84,31,7,7,12
15,889427,109,32,7,7,10
15,908539,91,46,7,7,10
15,900140,85,38,7,7,10
15,892376,85,36,7,7,10
15,891768,81,50,7,7,10
15,894831,86,29,7,7,10
15,894379,78,52,7,7,10
15,895934,84,30,7,7,10
15,895169,85,33,7,7,10
15,896969,70,53,7,7,10
15,5000159,101,52,0,8,12
15,5000151,99,54,0,8,12
15,5000165,111,56,0,8,12
15,5000176,89,63,0,8,12
15,5000099,93,63,0,8,12
15,5000198,92,63,0,8,12
15,5000145,89,62,0,8,12
15,5000202,88,63,0,8,12
15,5000119,99,51,0,8,12
15,5000150,94,67,0,8,12
20,4962987,157,53,0,10,14
20,4946493,230,35,0,10,14
20,4926285,214,36,0,10,14
